,periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
3344,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,['se']
3345,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,4,5,4,True,0,5,5,5,5,0,False,4,"['se', 'mas', 'agrado', 'realidad', 'muy']"
3346,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,4,5,4,4,4,4,False,0,4,5,5,4,5,True,4,"['muy', 'se', 'gran', 'variedad', 'mas']"
3347,1,"PROVS, Programa de la Vivienda Sustentable, A.C.",ONG - Humanitaria,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,"['di', 'cuenta', 'mas', 'solo']"
3348,1,"SATEM, Sociedad Astronómica del Tecnológico de Monterrey",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,5,5,5,5,5,0,True,5,"['forma', 'personas', 'muy', 'buen', 'haciendo', 'nunca', 'ayudar', 'les']"
3349,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,0,True,4,[]
3350,1,Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,2,5,5,5,5,2,False,4,[]
3351,1,"CÁRITAS MEXICANA, IAP",ONG - Salud,4,4,3,3,3,3,False,0,4,5,5,5,2,True,3,"['falta', 'muy', 'ayudar']"
3352,1,"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM,4,4,4,4,4,4,False,0,4,5,5,5,2,False,3,"['no', 'hubiera', 'hubiera']"
3353,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,4,4,5,5,4,True,0,4,5,5,5,2,False,4,[]
3354,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,2,True,4,[]
3355,1,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C.",ONG - Humanitaria,5,5,5,5,5,5,True,5,5,5,5,5,0,True,5,"['muy', 'ayudar', 'mas', 'nada', 'mas', 'personas', 'vida', 'triste']"
3356,1,Pal Sur del Norte,ONG - Desarrollo humano,4,4,4,4,4,4,True,0,4,4,4,4,0,False,3,"['muy', 'no', 'quieren', 'encanto', 'mismo', 'ella', 'solo', 'le']"
3357,1,Pal Sur del Norte,ONG - Desarrollo humano,3,3,4,3,4,4,False,0,5,4,4,3,2,False,3,[]
3358,1,Pal Sur del Norte,ONG - Desarrollo humano,5,5,4,5,5,5,True,0,5,5,5,5,0,True,4,"['increible', 'parece', 'gran', 'nuestros', 'hubo', 'muy', 'buscar']"
