osf,clase
"Inter-accion jóvenes por un futuro con oportunidades, A.C.",ONG - Desarrollo humano
Laboratorio Innovación Social Tutores de Resiliencia,ONG - Humanitaria
Compromiso y Responsabilidad Educativa ABP,ONG - Desarrollo humano
"Fundación F21, A.C.",ONG - Desarrollo humano
Escuela de Ingeniería y Ciencias,Sociedad de Alumnos ITESM
"AMMAC, Alianza de Ministerios de Misericordia, A.C.",ONG - Humanitaria
"CÁRITAS MEXICANA, IAP",ONG - Salud
I CARE FOUNDATION A.C.,ONG - Salud
Monterrey Interactive Media & Entertrainment Cluster,Actividades recreativas
Prepanet Monterrey,ONG - Humanitaria
"Tierra de Artistas, A.C.",Actividades recreativas
Patrones Hermosos,ONG - Desarrollo humano
Transformando Al Planeta,ONG - Medio ambiente
"PRODAN, Prodefensa Animal, A.C.",ONG - Medio ambiente
Centro Jurídico y Formación Integral BUFETEC,ONG - Política y leyes
"AEQUS - Rehabilitación Psicosocial, A.B.P",ONG - Humanitaria
EHE - Dirección de Educación y Desarrollo,ONG - Desarrollo humano
EHE - Estudios Socioculturales,ONG - Arte y cultura
"Club Deportivo de Fútbol Americano Avispones, A.C.",Actividades recreativas
"Centro Cultural Loyola de Monterrey, AC",ONG - Arte y cultura
EIC y EHE - Innovaction Gym,Emprendimiento y desarrollo
"Fundación Chávez Ramos, A.C",ONG - Política y leyes
Dirección de Servicio Social - PASS,Dirección Servicio Social Campus Mty.
"Jóvenes Mexicanos Al Servicio De América (América Solidaria), A.C.",ONG - Desarrollo humano
"Líderes Promoviendo la Cultura de la Legalidad, A.C.",ONG - Política y leyes
"SAINA, Sociedad de Alumnos de Ingeniería en Nanotecnología",Sociedad de Alumnos ITESM
"AIVIA, Asistente Sustentable",ONG - Medio ambiente
"SAIQ, Sociedad de Alumnos de Ingeniería Química",Sociedad de Alumnos ITESM
"Cambio para el Aprendizaje de Niños y Adolescentes, A.C.",ONG - Desarrollo humano
Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria
Centro Virtual de Aprendizaje Tec de Monterrey,Emprendimiento y desarrollo
Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.
"SALEM, Sociedad de Alumnos de Licenciado en Mercadotecnia",Sociedad de Alumnos ITESM
Dirección de Emprendimiento Social,Emprendimiento y desarrollo
"AEAC, Asociación de Estudiantes de Arte y Cultura",ONG - Arte y cultura
"SATEM, Sociedad Astronómica del Tecnológico de Monterrey",Sociedad de Alumnos ITESM
"FETEC, Comité Ejecutivo",Sociedad de Alumnos ITESM
"AENL, Asociación de Estudiantes de Nuevo León",ONG - Desarrollo humano
Uno más Uno,ONG - Humanitaria
Centro Jurídico y Formación Integral BufeTec,ONG - Política y leyes
"Fundación FEMSA , A.C.",ONG - Humanitaria
"Neurofinanzas, A.C.",ONG - Humanitaria
"SEIMIQ, Sección Estudiantil del Instituto Mexicano de Ingenieros Químicos",ONG - Desarrollo humano
"CRS, Consejo de Responsabilidad Social Estudiantil FETEC",ONG - Humanitaria
Asociación Iknextia,ONG - Humanitaria
"Vecinos Fuentes del Valle, A.C.",ONG - Medio ambiente
Red Unidos para Trascender de la Iniciativa Campana-Altamira,ONG - Desarrollo humano
Care Misiones,ONG - Humanitaria
"SACPF, Sociedad de Alumnos de Licenciatura en Contaduría Pública y Finanzas",Sociedad de Alumnos ITESM
EHE Educación Continua- Arizona State UniversitySolarSPELL.org,ONG - Desarrollo humano
"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales",Sociedad de Alumnos ITESM
"EZER, A.B.P. La Casa del Voluntario",ONG - Humanitaria
"Patronato del Parque Rufino y Olga Tamayo, A.C.",ONG - Medio ambiente
Colectivo Semillero Espiral,Actividades recreativas
"CIES, Centro de Investigación y Educación para la Salud, A.C.",Investigación
Community FIRST For Inspiration and Recognition of Science and Technology,Emprendimiento y desarrollo
EN - Departamento de Contaduría Pública y Finanzas,ONG - Desarrollo humano
"ACS, American Chemical Society Tecnológico de Monterrey",Investigación
"SALRI, Sociedad de Alumnos de Licenciatura en Relaciones Internacionales",Sociedad de Alumnos ITESM
