osf,clase
"SABGB, Sociedad de Alumnos de Licenciatura en Negocios Internacionales_Mi Mundo y Yo",Sociedad de Alumnos ITESM
SecreatarÍa de Medio Ambiente de Nuevo León_(+) VERDE SMA Biodiversidad,ONG - Medio ambiente
Creesiendo A.C._Datos Creesiendo,ONG - Humanitaria
"AEDOMEX, Asociación de Estudiantes del Estado de México_Escribanos de Nunca Jamás",ONG - Desarrollo humano
"Cambiando México con Valores, A.C._Juegamex",ONG - Desarrollo humano
Cambio de Juego_Entrenando y generando soluciones con Cambio de Juego,ONG - Desarrollo humano
Iniciativa Campana Altamira_Impulso a trabajadoras del hogar,ONG - Desarrollo humano
"AMA y Trasciende, A.C._Ciclismo para todos",Actividades recreativas
Pal Sur del Norte_Pal Sur del Norte: equidad educativa,ONG - Desarrollo humano
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C_DISEÑO, COMUNICACIÓN Y MEDIOS DIGITALES",ONG - Desarrollo humano
Dirección de Servico Social_Acciones ciudadanas dos proyectos,Dirección Servicio Social Campus Mty.
"Casa Mi Ángel, A.B.P._Soporte de Proyectos | Casa Mi Ángel ABP",Emprendimiento y desarrollo
GeoSTATS_GeoSTATS: Generando diálogo a través de cartografía social,Emprendimiento y desarrollo
Conexión TEC - Distrito Tec_Urban Vlogger: Towards Conscious Mobility,ONG - Desarrollo humano
LABNL Laboratorio Cultural Ciudadano de CONARTE NL_LABNL Lab Cultural Ciudadano: Coordinación de Mediación,ONG - Arte y cultura
"Club Deportivo de Futból Americano Águilas, A.C._Águilas: Formando Campeones para la Vida",Actividades recreativas
"Cambiando México con Valores, A.C._Redes Sociales CMV",ONG - Desarrollo humano
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_Data Studio – Estadísticas informativas",ONG - Desarrollo humano
"Huellas que Trascienden, A.C._Apoyo Comercial y Eventos",Emprendimiento y desarrollo
Dirección de Emprendimiento Social_PyMES SOS,Emprendimiento y desarrollo
"Escalando Fronteras, A.C._Escalando en roca por un mundo más justo",ONG - Humanitaria
EIC - Escuela de Ingeniería y Ciencias_Aport@Teens - volumen 2,Sociedad de Alumnos ITESM
"Jóvenes Mexicanos Al Servicio De América (América Solidaria), A.C._Sin Barreras, por una sociedad diferente",ONG - Humanitaria
Secretaría de Desarrollo Social y Humano del Municipio de San Pedro_Crecimiento Comunitario Infantil,ONG - Humanitaria
Myhomeskool_Estrategias para Redes Sociales Myhomeskool,ONG - Desarrollo humano
"CREMX, Compromiso y Responsabilidad Educativa ABP_Reactivación de Bibliotecas Escolares.",ONG - Desarrollo humano
"AMMAC, Alianza de Ministerios de Misericordia, A.C._Directo al corazón",ONG - Humanitaria
"Huellas que Trascienden, A.C._Elaboración de fotografías promocionales HQT",ONG - Arte y cultura
"Fundación F21, A.C._Blockchain Social + fundación F21",Emprendimiento y desarrollo
"CONALEP Don Humberto Lobo Villarreal, O.P.D_DESARROLLO INTEGRAL DEL ESTUDIANTE",ONG - Desarrollo humano
"MOVAC, Movimiento de Activación Ciudadana, A.C._Promotores de Seguridad Vial, Zona Escolar Segura",ONG - Humanitaria
La Cumbre Cotidiana A.C._Prevención de Accidentes dentro de Áreas Naturales Protegidas de NL,ONG - Humanitaria
Creesiendo A.C._Creesiendo en Redes Sociales,ONG - Desarrollo humano
"SALEM, Sociedad de Alumnos de Licenciado en Mercadotecnia_Enseñando Caminos",Sociedad de Alumnos ITESM
"Fundación México Incluyente, A.C._Creando Comunidad en San Pedro",ONG - Humanitaria
"Ya Puedo Escucharte, A.C._Comunidad Virtual Ya Puedo Escucharte",ONG - Humanitaria
Iniciativa Campana Altamira_Club STEAM,ONG - Desarrollo humano
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C._Arte por la Vida UNAC",ONG - Humanitaria
"TEDI, Taller de Expresión y Desarrollo Integral, A.C._Inclusión educativa en Nuevo León",ONG - Humanitaria
Capa x Capa_Capa x Capa - Creación de Contenido e Investigación,Investigación
ABACO Consultoría Financiera_Educación Financiera para Niños,ONG - Desarrollo humano
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C._Marketing team UNAC",ONG - Humanitaria
"SAINA, Sociedad de Alumnos de Ingeniería en Nanotecnología_Taller de Química",Sociedad de Alumnos ITESM
WEEDS_Medios visuales - Creando comunidad en un mundo más verde,ONG - Medio ambiente
"Práctica jurídica LED_Asuntos Jurídicos, Práctica Jurídica LED",ONG - Política y leyes
"Cambiando México con Valores, A.C._Coordinador CMV",ONG - Desarrollo humano
"Instituto Nuevo Amanecer, A.B.P._Creación de contenido para A.B.P.",Emprendimiento y desarrollo
Iniciativa Campana Altamira_Club Colibrí,ONG - Desarrollo humano
"Redes Quinto Poder IDEA, A.C._Recuperación del Espacio Público",ONG - Humanitaria
"Redes Quinto Poder IDEA, A.C._Tecnología con Impacto Social",ONG - Humanitaria
Inclusión y Accesibilidad_Tutor Campamento Descubre y Aprende,ONG - Desarrollo humano
Capa x Capa_Capa x Capa - Modelado CAD,ONG - Desarrollo humano
"SALAD, Sociedad de Alumnos en Animación y Arte Digital_EnseñARTE",Sociedad de Alumnos ITESM
"Fundación F21, A.C._Aprender a Aprender",ONG - Desarrollo humano
Sacbé_Sacbé Secundaria,ONG - Humanitaria
"Fundación Enrique Yturria García, A.B.P._Proyecto C.R.C. - Arte Conceptual",ONG - Arte y cultura
"Paso de Esperanza, A.C._INFORME SOBRE MIGRACIÓN, REFUGIO Y DERECHOS HUMANOS 2022",ONG - Humanitaria
"CÁRITAS MEXICANA, IAP_Cáritas Mexicana: Trabajando junto a los más vulnerables",ONG - Humanitaria
"CIBRUC, Centro de Investigación sobre Biodigestión Anaerobia y Residuos Urbanos, A.C._Campaña nacional de separación ecológica de residuos con CIBRUC",Investigación
Fundación Tarahumara José A. Llaguno A.B.P._Proyectos comunitarios para la Sierra Tarahumara,ONG - Arte y cultura
"SALNB, Sociedad de Alumnos de Nutrición y Bienestar_NAFI - Nutrición y Actividad Física Infantil",Sociedad de Alumnos ITESM
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_Supervisor de actividades",ONG - Desarrollo humano
"AMMAC, Alianza de Ministerios de Misericordia, A.C._Alimentos con amor",ONG - Humanitaria
"HIC ME, A.C._Administración de una A.C.: Niñez institucionalizada",ONG - Humanitaria
Prepanet Campus Monterrey_Prepanet - Consejero en Línea,ONG - Desarrollo humano
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C._Difundamos UNAC",ONG - Humanitaria
Prepanet Campus Monterrey_Prepanet - Tutor en Línea EA (10 s),ONG - Desarrollo humano
Red Unidos para Trascender de la Iniciativa Campana-Altamira_Unidos para Trascender en el desarrollo integral de la comunidad Campana-Altamira,ONG - Desarrollo humano
"Fundación Enrique Yturria García, A.B.P._Proyecto C.R.C. Construyendo-Reutilizando-Capacitando",ONG - Medio ambiente
EAAD - Impulso Urbano_Construcción del CAM Centro Monterrey,ONG - Desarrollo humano
SALED - Sociedad de Alumnos de Licenciatura en Derecho_Civitas para Todos,Sociedad de Alumnos ITESM
"Familia de Santa María, A.C._FSM - Gestión y orientación fiscal",ONG - Política y leyes
"Manjar de la lectura, A.C._Fomento de la lectura a través de las tecnologías.",ONG - Humanitaria
"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C._Dreams for kids",ONG - Humanitaria
"Asociación de Psicólogos Profesionales de Nuevo León, AC_Creación de contenido audiovisual",ONG - Desarrollo humano
"SATEM, Sociedad Astronómica del Tecnológico de Monterrey_Cosmonautas",Sociedad de Alumnos ITESM
"AMMAC, Alianza de Ministerios de Misericordia, A.C._saturday school",ONG - Humanitaria
Gasilem SA de CV_Contagiemos Arte,ONG - Arte y cultura
"AMMAC, Alianza de Ministerios de Misericordia, A.C._WAKE UP",ONG - Humanitaria
"PRODEIQ, Programa para el Desarrollo del Ingeniero Químico_Motivación en Movimiento",ONG - Desarrollo humano
"I CARE FOUNDATION, A.C._¡Enseña inglés para brindar mejores oportunidades con I Care!",ONG - Desarrollo humano
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C._Unidos por la danza contra el cáncer infantil",ONG - Humanitaria
"WEEDS_BARRIO VERDE, CREANDO ESPACIOS URBANOS SOSTENIBLES - MEDIOS AUDIOVISUALES",ONG - Medio ambiente
Inclusión y Accesibilidad_Programa Surfers de la Neurodiversidad,ONG - Humanitaria
"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C._Alimenta Corazones 2022",ONG - Humanitaria
wwleadership sc_Preparatoria hibrida acreditada por la UNAM,Emprendimiento y desarrollo
"CREMX, Compromiso y Responsabilidad Educativa ABP_CREa: ""Creando Espacios de Aprendizaje""",ONG - Desarrollo humano
"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C._Auxiliar en Equinoterapia",Actividades recreativas
Iniciativa Campana Altamira_Mediador de lectura,ONG - Desarrollo humano
AEDEG - Asociación de Estudiantes Deutsche Gemeinschaft_Deutsch 101,ONG - Desarrollo humano
"VIFAC, Vida y Familia Monterrey, A.B.P._Proyecto Investigación: La vulnerabilidad para las mujeres trabajadoras",Investigación
Líderes del Mañana - ADUX_ADUX Digital,ONG - Desarrollo humano
WEEDS_Staff - Creando comunidad en un mundo más verde,ONG - Medio ambiente
"Casanicolás-Solidaridad en el éxodo, A.C._Migrando Historias",ONG - Humanitaria
Inclusión y Accesibilidad_Coordinador Campamento Descubre y Aprende,ONG - Desarrollo humano
SALEC - Sociedad de Alumnos de Licenciatura en Economía_Empoderamiento Ciudadana en Finanzas Públicas,Sociedad de Alumnos ITESM
SecreatarÍa de Medio Ambiente de Nuevo León_(+) VERDE SMA Arquitectura,ONG - Medio ambiente
WEEDS_Coordinador Ambiental - Huertos de Esperanza en un mundo más verde,ONG - Medio ambiente
"AMMJE, Asociación Mexicana de Mujeres Jefas de Empresa, A.C._Posicionar la marca AMMJE",ONG - Desarrollo humano
"Guerreros en la Vida y en la Cancha, A.C._Redes sociales para los Guerreros de la Independencia",ONG - Desarrollo humano
San Pedro Parques_Difundiendo la Vida en San Pedro Parques,ONG - Medio ambiente
"Fundación F21, A.C._Code: Sanctuary by Cybersecurity Tec + Fundación F21",Emprendimiento y desarrollo
WEEDS_Emprendimiento en un mundo más verde,ONG - Medio ambiente
"Despierta, Cuestiona y Actúa, A. C._Ciudadanit@s",ONG - Desarrollo humano
Iniciativa Campana Altamira_Habilidades socioemocionales,ONG - Desarrollo humano
"PAME fuerza de juventud A.C_PAME, Turn it Up!",ONG - Desarrollo humano
Secretaría de Participación Ciudadana_Creación y rediseño de procesos de Atención Ciudadana Estatal,ONG - Humanitaria
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey_MICROLEARNING - Creador capsulas educativa y de ayudas visuales educativas",ONG - Desarrollo humano
"Jóvenes Mexicanos Al Servicio De América (América Solidaria), A.C._Creación de Campañas de Procuración de Fondos en América Solidaria México.",ONG - Humanitaria
EAAD - Departamento de Arquitectura_Patrimonio Nuevo León (PATRIMONIONL),ONG - Arte y cultura
"AUTISMO, A.B.P._INVESTIGACION, PLANEACION Y PREPARACION PARA APERTURA DE CENTRO OCUPACIONAL AUTISMO ABP.",Investigación
Sacbé_Sacbé Preparatoria,ONG - Desarrollo humano
"Fomento Prevocacional Severiano Martínez, A.B.P. Casa Hogar Padre Severiano Martínez_Biblioteca Escolar de la Escuela Severiano Martínez",ONG - Desarrollo humano
"Centro de Rehabilitación y Terapias Ecuestres Hoga, A.C._Desarrollo de Estrategias para la procuración de recursos en HOGA",ONG - Salud
La Cumbre Cotidiana A.C._La web para senderistas,ONG - Medio ambiente
"Redes Quinto Poder IDEA, A.C._DHALE Niñas y Niños",ONG - Humanitaria
"Familia de Santa María, A.C._FSM Radio en la WEB y Redes Sociales",ONG - Humanitaria
Ciudadani­a y Ciudades Inteligentes_Capacitación para niños guías de turistas,ONG - Desarrollo humano
Myhomeskool_Estrategias para el rediseño website Myhomeskool,ONG - Desarrollo humano
"SAITD, Sociedad de Alumnos de Ingenieria en Transformación Digital de Negocios_Computación para Todos - Centros MOVER SPGG",Sociedad de Alumnos ITESM
"Club Deportivo de Fútbol Americano Pumas, A.C._Pumas: más alla del deporte",Actividades recreativas
Conecta A.C._Conecta con la Comunidad,ONG - Humanitaria
"Existe, A.B.P._Educación para la Paz",ONG - Humanitaria
SAC - Sociedad de Alumnos de Comunicación_Huellas Creativas,Sociedad de Alumnos ITESM
"Despierta, Cuestiona y Actúa, A. C._Ciudadanit@s creativos",ONG - Desarrollo humano
San Pedro Parques_Compartiendo experiencias en San Pedro Parques,ONG - Humanitaria
"Vitalfem_Vitalfem, tu salud, tú decisión, un espacio digital seguro para nosotras.",ONG - Salud
"CEI, Comité Ecológico Integral_Sistema Estadístico del Aire",ONG - Medio ambiente
EN - Dirección de Programa LAF_Tanetze: creación y operación de su caja de ahorro,ONG - Desarrollo humano
EAAD - Impulso Urbano_Construyendo futuros,ONG - Desarrollo humano
"Club de Niños y Niñas de Nuevo León, A.B.P._Capacitaciones Digitales y Tecnológicas",ONG - Desarrollo humano
"WEEDS_Staff - BARRIO VERDE, CREANDO ESPACIOS URBANOS SOSTENIBLES",ONG - Medio ambiente
"Huellas que Trascienden, A.C._E-commerce y Comercialización de Productos HQT",Emprendimiento y desarrollo
Laboratorio Innovación Social Tutores de Resiliencia_Formando en la Resiliencia,ONG - Desarrollo humano
"EFFETA, ABP_Incluye + auxiliar educativo",ONG - Humanitaria
"Imagina, A.B.P._IMAGINEA Remoto",ONG - Desarrollo humano
"Hagámoslo Bien por una Cultura de la Legalidad, A.C._Bien en tu Empresa en línea: promueve la integridad empresarial con un sitio web",ONG - Humanitaria
Creesiendo A.C._Creesciendo la Web,ONG - Humanitaria
"Club Deportivo de Fútbol Americano Avispones, A.C._Coordinador de Redes Sociales Club Avispones",Actividades recreativas
"Consejo de Seguridad de la información y ciberseguridad, A.C._CYBER SECURE NATION CONFERENCE 2022: Vinculación para difusión en América Latina",ONG - Desarrollo humano
"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas_Niños Regios",Sociedad de Alumnos ITESM
H. CONGRESO DEL ESTADO DE NUEVO LEON_Hagamos leyes para Nuevo León,ONG - Política y leyes
"PROMOCIÓN DE PAZ, A.B.P._TALLER DE ARTE POR LA PAZ",ONG - Arte y cultura
Capa x Capa_Capa x Capa - Diseño y Programación Página Web,Emprendimiento y desarrollo
"Familia de Santa María, A.C._FSM Radio- crea música para podcast",ONG - Desarrollo humano
"Centro de Rehabilitación y Terapias Ecuestres Hoga, A.C._Manual de Servicios Terapéuticos HOGA",ONG - Humanitaria
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C._Social Media UNAC",ONG - Humanitaria
"Institución Renace, A.B.P._Mejora del sistema de información de Renace",ONG - Desarrollo humano
"CIES, Centro de Investigación y Educación para la Salud, A.C._Transformando Al Planeta",Investigación
Dirección de Servicio Social - PASS_Líder Solidario,Dirección Servicio Social Campus Mty.
"Plan Cuatro Ciénegas 2040, A.C._Más manos hacen la diferencia",ONG - Medio ambiente
Semillero Espiral Colectivo_Creación de Asociación civil ecologista,ONG - Medio ambiente
Thunder MX_Thunder: Consultoría de negocios a ONGs,ONG - Desarrollo humano
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C_CAPACITACIÓN Y OPERACIÓN",ONG - Desarrollo humano
Laboratorio Innovación Social Tutores de Resiliencia_Juguetes con causa,ONG - Humanitaria
Dirección de carreta Ing. Mecánica_INGENIUM,ONG - Desarrollo humano
Dirección de Servico Social_Acciones ciudadanas horas pendientes,Dirección Servicio Social Campus Mty.
Secretaría de Desarrollo Social y Humano del Municipio de San Pedro_Propulsores en Acción para la Transformación,Emprendimiento y desarrollo
"Paso de Esperanza, A.C._Atención a Niños, niñas, adolescentes y mujeres migrantes",ONG - Humanitaria
"Cambio para el Aprendizaje de Niños y Adolescentes, A.C._Cardenales Campana Altamira",ONG - Desarrollo humano
Maverick Unconventional Athletes_Atletas mentores Maverick,Actividades recreativas
San Pedro Parques_Evaluación del arbolado en San Pedro Parques- Parque Mississippi,ONG - Medio ambiente
"IEPAM, Instituto Estatal de las Personas Adultas Mayores_Marketing de la Bolsa de Trabajo para Personas Adultas Mayores",ONG - Desarrollo humano
Red Recolector SA de CV_Red Ambiental en SP de Pinta,ONG - Medio ambiente
"Ya Puedo Escucharte, A.C._MI SUPER PODER ES MI OÍDO",ONG - Humanitaria
"Familia de Santa María, A.C._FSM Radio - Producción y edición de video",ONG - Desarrollo humano
Myhomeskool_Strategies fundraising for quality education,ONG - Desarrollo humano
"Casanicolás-Solidaridad en el éxodo, A.C._Traduciendo historias",ONG - Humanitaria
"Hagámoslo Bien por una Cultura de la Legalidad, A.C._Bien en tu Escuela en línea: en línea: promueve la integridad escolar con un sitio web",ONG - Humanitaria
SALAF- Sociedad de Alumnos de Administración Financiera_Peso a peso: que tu dinero no quede en cero.,Sociedad de Alumnos ITESM
"Fundación F21, A.C._Comunicación y diseño social + fundación F21",ONG - Desarrollo humano
Instituto Republicano Internacional_Juventud anticorrupción,ONG - Política y leyes
"AEAC, Asociación de Estudiantes de Arte y Cultura_Vive con Arte",ONG - Arte y cultura
"Powerchair Football México, A.C._Mejorando las sillas motorizadas de POWERCHAIR FOOTBALL MX",ONG - Humanitaria
"Paso de Esperanza, A.C._Construyendo la Esperanza - Paso de Esperanza a.c.",ONG - Desarrollo humano
WEEDS_Innovando para un mundo más verde,ONG - Medio ambiente
"IEPAM, Instituto Estatal de las Personas Adultas Mayores_Transferencia de Conocimiento de las Personas Adultas Mayores",ONG - Humanitaria
"ARENA, Asociación Regiomontana de Niños Autistas, A.B.P_Actividades de apoyo en terapias con Autismo ARENA",ONG - Humanitaria
"Powerchair Football México, A.C._Construye el diseño audiovisual del deporte PowerChair",Actividades recreativas
"IBI, Instituto de Bienestar Integral_Instituto de Bienestar Integral",ONG - Humanitaria
"PRODAN, Prodefensa Animal, A.C._Yo Soy Prodan",ONG - Medio ambiente
"WEEDS_BARRIO VERDE, CREANDO ESPACIOS URBANOS SOSTENIBLES - COORDINADOR GENERAL",ONG - Medio ambiente
"Huellas que Trascienden, A.C._Comunicación Digital HQT",Emprendimiento y desarrollo
"CreeSer, A.B.P._Facilitador/a en Cultura de Paz",ONG - Humanitaria
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C_EDUCACIÓN EN SALUD",ONG - Salud
"Imagina, A.B.P._IMAGINEA Presencial",ONG - Desarrollo humano
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C_FONDEAGG Coordinación Proyectos",ONG - Desarrollo humano
Secretaría de Participación Ciudadana_Creación de medios publicitarios para la Atención Ciudadana,ONG - Política y leyes
"Neurofinanzas, A.C._El Marketing Disruptivo en las ONGs",ONG - Desarrollo humano
"Liderazgo y Cultura Emprendedora, A.C._Acompañamiento a mujeres emprendedoras con la red de empresarias Soy Plena",Emprendimiento y desarrollo
Iniciativa Campana Altamira_Campamento Áwale,ONG - Desarrollo humano
"Neurofinanzas, A.C._Educación Financiera para migrantes",ONG - Humanitaria
"Instituto Nuevo Amanecer, A.B.P._Auditorías Nuevo Amanecer",ONG - Desarrollo humano
Secretaría de Desarrollo Social y Humano del Municipio de San Pedro_Clases de apoyo a nivel secundaria dentro de Bibliotecas,ONG - Desarrollo humano
"Redes Quinto Poder IDEA, A.C._Sembrando Vida",ONG - Humanitaria
WEEDS_Staff - Lecturas distruptivas en un mundo más verde,ONG - Medio ambiente
"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Directo al corazón",ONG - Humanitaria
Red Recolector SA de CV - Red Ambiental en San Pedro de Pinta,ONG - Medio ambiente
"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Wake up",ONG - Humanitaria
"Familia de Santa María, A.C. - FSM Radio - Producción y edición de video",ONG - Humanitaria
"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Saturday School",ONG - Humanitaria
"AMMAC, Alianza de Ministerios de Misericordia, A.C. - Alimentos con amor",ONG - Humanitaria
Operación Pollo TRC A.C. - Yo Apollo,ONG - Humanitaria
Fundacionplan.org - Plan SPAP A.C. - Experiencia Plan,ONG - Humanitaria
"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C. - Nutrición y Vida en Bienestar",ONG - Humanitaria
LABNL - Consejo para la Cultura y las Artes de Nuevo León - LABNL Lab Cultural Ciudadano: Coordinación de Mediación,Emprendimiento y desarrollo
"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C. - FICAE Comunica!!",Actividades recreativas
"AIESEC México, A.C. - Ciudadano Global AIESEC",ONG - Desarrollo humano
"Tierra de Artistas, A.C. - Alquimistas de impacto",ONG - Humanitaria
"La Cumbre Cotidiana, A.C. - Prevención de Accidentes dentro de Áreas Naturales Protegidas de NL",ONG - Humanitaria
"Tierra de Artistas, A.C. - Taller de telares con técnicas artesanales oaxaqueñas",ONG - Arte y cultura
"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C. - Diseño de material terapéutico FICAE",Actividades recreativas
"CIES, Centro de Investigación y Educación para la Salud, A.C. - Transformando Al Planeta",Investigación
"Vecinos Fuentes del Valle, A.C. - Centro de Acopio y Pepena en Fuentes del Valle",ONG - Medio ambiente
INICIATIVA DE EDUCACIÓN CON EQUIDAD Y CALIDAD ---- Dirección de Servicio Social - Aprendizajes para Todos: Tutor académico,Dirección Servicio Social Campus Mty.
"CONAFE, Consejo Nacional de Fomento Educativo - CONAFE TEC-TIC",ONG - Desarrollo humano
Secretaría de Educación de Nuevo León: Coordinación Estatal de Telebachillerato - PREPÁrate Nuevo León,ONG - Desarrollo humano
"CÁRITAS MEXICANA, IAP - Cáritas Mexicana: Trabajando junto a los más vulnerables",ONG - Humanitaria
"Vecinos Fuentes del Valle, A.C. - HUERTO Y COMPOSTA EL CAPITÁN",ONG - Medio ambiente
"FONDEAGG, Fondo Educativo Gral. de Div. Anacleto Guerrero Guajardo, A.C - Linea del tiempo Fondo Anacleto",ONG - Desarrollo humano
"Vecinos Fuentes del Valle, A.C. - Marketing Digital",ONG - Medio ambiente
"VIFAC, Vida y Familia Monterrey, A.B.P. - COMPARTIR DA VIDA 2022",ONG - Humanitaria
"SOSAC, Sociedad Sostenible, A.C. - Especies y Espacios con SOSAC",ONG - Medio ambiente
Museo de Historia Mexicana - Se trata de tu historia,ONG - Arte y cultura
Cambiando México con Valores A. C. - Juegamex,ONG - Desarrollo humano
Centro Jurídico y Formación Integral BufeTec - Centro Jurídico y Formación Integral BufeTec,ONG - Política y leyes
"Huellas que Trascienden, A.C. - Coordinación de Proyectos HQT",Emprendimiento y desarrollo
"Un Techo para mi País México, A.C. - Historias de impacto",ONG - Humanitaria
"Liderazgo y Cultura Emprendedora, A.C. - Embajadores y creadores de contenido para redes sociales",Emprendimiento y desarrollo
Ecoaldeas del Norte - Diseño de casa sustentable,Emprendimiento y desarrollo
"EIC, EHE y EAAD - Innovaction Gym - Diseño de Página Web",Emprendimiento y desarrollo
Dirección de Servicio Social - PASS - Líder Solidario,Dirección Servicio Social Campus Mty.
"CONAFE, Consejo Nacional de Fomento Educativo - Inglés para todos en CONAFE",ONG - Desarrollo humano
"Liderazgo y Cultura Emprendedora, A.C. - Acompañamiento a mujeres emprendedoras con la red de empresarias Soy Plena",ONG - Desarrollo humano
Iniciativa Campana Altamira - Fútbol para crecer,ONG - Desarrollo humano
Cambiando México con Valores A. C. - Coordinadores,ONG - Desarrollo humano
"CVA, Centro Virtual de Aprendizaje Tec de Monterrey - TransformaWEB - programador",Emprendimiento y desarrollo
Sembrando Amor Al Mundo - Propósito para una mejor calidad de Vida,ONG - Desarrollo humano
Jurisdicción Sanitaria #4 de Nuevo León - Revisión de Datos Estadísticos de la Jurisdicción Sanitaria #4,ONG - Medio ambiente
EduMakers - Tecnológico de Monterrey - Edumakers para la inclusión,ONG - Humanitaria
"SOSAC, Sociedad Sostenible, A.C. - Tierra Urbana con SOSAC",ONG - Medio ambiente
"Be The Match MX, A.C. - Be the match MX",ONG - Humanitaria
Proyecto 99 - Proyecto 99 - Talleres,ONG - Desarrollo humano
"Club Deportivo de Fútbol Americano Águilas, A.C. - Staff de Coaches del Club Águilas",Actividades recreativas
Dirección de Emprendimiento Social - PyMES SOS Invierno 2023,Emprendimiento y desarrollo
"SAIQ, Sociedad de Alumnos de Ingeniería Química - Sembrando Conciencia",Sociedad de Alumnos ITESM
"Paso de Esperanza, A.C. - Construyendo la esperanza - Paso de Esperanza a.c.",ONG - Desarrollo humano
SALPS - Sociedad de Alumnos de Licenciado en Psicología Clínica y de la Salud - Programa Preclínico,Sociedad de Alumnos ITESM
Laboratorio Innovación Social Tutores de Resiliencia - Naturaleza Lab : construyendo herramientas de medición-,ONG - Medio ambiente
Inclusión y Accesibilidad - Coordinación del Campamento Descubre y Aprende,ONG - Desarrollo humano
"Práctica jurídica LED - Asuntos Jurídicos, Práctica Jurídica LED",ONG - Política y leyes
Fuerza y Esperanza por Uno Más - Alimentación con fé,ONG - Humanitaria
"Tierra de Artistas, A.C. - Taller de medicina tradicional a través de la herbolaria zapoteca",ONG - Arte y cultura
Dirección de Servicio Social - Acciones ciudadanas - Realidad virtual para empatizar con realidades sociales,Dirección Servicio Social Campus Mty.
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C. - Unidos por las Redes Sociales",ONG - Salud
"Paso de Esperanza, A.C. - Atención a Niños, niñas, adolescentes y mujeres migrantes",ONG - Humanitaria
MyHomeskool - Strategies fundraising for quality education,ONG - Desarrollo humano
"distritotec - Activaciones Sociales, Arte Público y Casa Naranjos de distritotec",ONG - Arte y cultura
"HIC ME, A.C. - Cambiando la conversación: Niñez institucionalizada",ONG - Humanitaria
Data Science HUB Tecnológico de Monterrey - Memoria Digital y acciones de mejora para el 10K Data Science Challenge,ONG - Desarrollo humano
GeoStats - GeoStats Social Media,Emprendimiento y desarrollo
SALEC (en colaboración con Centro de Investigación Económica y Presupuestaria A.C.) - Empoderamiento Ciudadana en Finanzas Públicas,Investigación
"VIFAC, Vida y Familia Monterrey, A.B.P. - Vifac en números",ONG - Humanitaria
"Manjar de la Lectura, A.C. - Promover la lectura a través de Manjar de la lectura.",ONG - Humanitaria
Community FIRST For Inspiration and Recognition of Science and Technology - Community is FIRST,Emprendimiento y desarrollo
San Pedro Parques - Líderes comunitarios de parques urbanos,ONG - Medio ambiente
"La Cumbre Cotidiana, A.C. - Educación Ambiental - La Cumbre Cotidiana A.C.",ONG - Medio ambiente
"Paso de Esperanza, A.C. - Incidencia en derechos humanos de personas migrantes y refugiadas",ONG - Humanitaria
"Redes Quinto Poder IDEA, A.C. - Sembrando Vida",ONG - Humanitaria
"WEEDS, Worldwide Education in Environmental Development and Sustainability, A.C. - Comunicando para un mundo más verde",ONG - Medio ambiente
"Tierra de Artistas, A.C. - Taller de Alebrijes y grecas Zapotecas",ONG - Arte y cultura
Proyecto 99 - P99 ON WEB,ONG - Desarrollo humano
"Menos Plástico es fantástico, A.C. - Estaciones de agua para la comunidad de Mahahual con Menos Plástico es Fantástico",ONG - Medio ambiente
Fundación Tarahumara José A. Llaguno A.B.P. - Proyectos comunitarios para la Sierra Tarahumara,ONG - Arte y cultura
"VIFAC, Vida y Familia Monterrey, A.B.P. - Proyecto Investigación: La vulnerabilidad para las mujeres trabajadoras",Investigación
"La Cumbre Cotidiana, A.C. - Preservación Ecológica",ONG - Humanitaria
"Consejo de Seguridad de la Información y Ciberseguridad, A. C. - Vinculación para difusión en Centroamérica y el Caribe",ONG - Desarrollo humano
"Consejo de Seguridad de la Información y Ciberseguridad, A. C. - Cybersecurity App",ONG - Desarrollo humano
